data,temperatura_obs,precipitacao_obs,temperatura_eta,precipitacao_eta,temperatura_brams,precipitacao_brams,temperatura_wrf,precipitacao_wrf
2023-08-20,20.6625,0,24.12,1.8,18.16,3.5,17.59,0
2023-08-21,22.64583333,0,21.67,13,15.43,35.5,18.7,0
2023-08-22,22.875,0,22.98,0.3,19.9,2.5,24.22,0.1
2023-08-23,26.475,0,23.35,0,20.82,0,25.26,0
2023-08-24,25.18,4.4,25,0,21.62,2,23.68,0.1
2023-08-25,21.6875,0,26.9,4.3,19.36,1.5,20.43,1.8
2023-08-26,16.525,8,25.33,2.7,16,0.5,14.48,0
2023-08-27,13.94545455,1.2,19.09,0.6,13.97,12,15.62,0.5
2023-08-28,15.825,0.4,18.75,1.9,13.72,0,13.11,1.1
2023-08-29,18.85833333,0,18.33,1,12.07,0,13.04,0
2023-08-30,19.62916667,0,22.59,12.6,12.82,0,18.22,0
2023-08-31,21.08541667,0,17.16,0,15.99,0,19.5,18.9
2023-09-01,22.54166667,0,14.57,0,15.62,7.3,19.75,0
2023-09-02,24.74583333,7.6,21.92,0,21.68,0,23.53,17.8
2023-09-03,23.6375,25.4,23.53,0,22.7,6.2,24.75,7.9
2023-09-04,25.59130435,0.7,25.97,20.5,24.21,70.2,27.01,0.8
2023-09-05,23.93333333,5.2,23.7,0,25.33,0,18.05,14.4
2023-09-06,19.925,0,20.15,7.3,25.7,0,21.65,0.1
2023-09-07,22.02608696,0,24.28,0,24.97,0,24.96,0
2023-09-08,24.02083333,0,23.85,0,25.49,0,25.4,0
2023-09-09,22.39583333,0,20.37,0,24.65,0,26.31,0
2023-09-10,21.9875,0,24.92,2.5,22.77,2.5,24.83,0
2023-09-11,24.15833333,0,24.2,0,21.76,0.2,21.18,0
2023-09-12,24.88333333,0,26.84,0.2,25.1,0,26.9,0
2023-09-13,26.69166667,0,25.5,0,26.01,0,26.79,0
2023-09-14,21.20833333,17.1,18.1,6.1,28.06,0,24.45,0.3
2023-09-15,18.4,0.2,25.45,0,17.77,3.2,19.94,0.8
2023-09-16,20.95416667,0,23.68,0,15.87,0,16.25,0
2023-09-17,25.2375,0,28.55,0,19.67,0,24.15,0
2023-09-18,27.18333333,0,29.67,0,24.74,0,28.08,0
2023-09-19,27.35416667,0,28.25,0,27.15,0,28.59,0
2023-09-20,25.85,0,24.98,0,26,0,28.87,0
2023-09-21,25.60416667,0,26.53,0,26.42,0,30.27,0
2023-09-22,27.50833333,0,25.28,0,27.05,0,28.88,0
2023-09-23,28.2375,0,27.68,0,27.14,0,28.73,0
2023-09-24,29.4625,0,26.95,0,26.27,0,30.05,0
2023-09-25,28.81666667,0,28.47,0,26.75,0,29.61,0
2023-09-26,28.4,0,20.72,0,26.53,0,24.01,0
2023-09-27,28.05,5.5,28.22,0,23.83,0,17.4,0
2023-09-28,19.3125,1.3,19.53,1.8,18.85,0,20.74,0
2023-09-29,20.84166667,0,19.45,0,23.21,2.5,22.95,0
2023-09-30,23.73333333,0,27.55,10.5,25.73,8.5,26.45,0.3
2023-10-01,22.1625,31.5,30.22,0,24,23,27.98,4.5
2023-10-02,22.32083333,0,26.63,7.7,23.33,9,24.85,0.4
2023-10-03,22.56666667,0,29.44,10.4,21.16,0.2,23.87,0
2023-10-04,25.6952381,0,29.79,3.6,23.49,4,28.77,0.2
2023-10-05,24.45238095,5.2,29.34,2.8,21.62,29.5,26.37,2.6
2023-10-06,25.82916667,0,28.32,8.4,22.94,4.8,20.52,0.1
2023-10-07,26.4,23.7,23.39,16.6,21.4,63.2,23.59,7.7
2023-10-08,22.79166667,28.2,19.24,10.7,19.5,10.5,22.03,60.6
2023-10-09,22.44166667,50.5,23.8,15.1,22.1,2.5,25.75,0
2023-10-10,22.60416667,0,18.51,22,26.26,0,25.45,0
2023-10-11,24.7125,0,22.3,1.1,25.82,0,26.87,0.2
2023-10-12,24.575,35.7,25.38,10.5,25.69,0,21.68,0
2023-10-13,20.37083333,0.7,27.58,0.3,23.36,4.5,18.92,0.8
2023-10-14,19.325,0,26.93,4.7,20.25,0,19.54,0.3
2023-10-15,23.0625,0,27.03,13.3,22.41,1.5,23.22,0
2023-10-16,25.85,0,28.89,0,24.84,3,26.38,0.6
2023-10-17,21.86,32,30.05,0,23.63,6,27,1.9
2023-10-18,22.7875,1.2,28.08,0,23.62,5.5,25.72,3.1
2023-10-19,20.98333333,0,23.94,2.1,22.29,0.2,17.53,0
2023-10-20,20.75416667,0,28.27,6.4,22.72,1.7,16.43,19.4
2023-10-21,21.62083333,0,22.04,0,24.42,0.7,23.27,0
2023-10-22,23.34166667,0,20.8,0,26.93,0,20.55,0
2023-10-23,25.025,0,22.67,0,27.21,0,24.79,0
2023-10-24,27.75416667,0,27.52,16.9,26.8,2.5,26.51,0
2023-10-25,25.4875,0,24.37,4.9,23.4,6,23.64,2.9
2023-10-26,24.17916667,0,20.41,0.5,23.42,15.5,27.82,0.4
2023-10-27,23.70833333,1.7,23.6,7.7,21.45,19.9,20.49,6.7
2023-10-28,23.80416667,7.1,27,3.4,22.06,32.4,23.31,16.6
2023-10-29,24.20833333,26.2,27.82,19.1,23.9,35,24.15,10.3
2023-10-30,24.85833333,0.9,18.54,1.6,21.6,31,22.75,17
2023-10-31,24.27083333,3.1,25.29,0,18.51,13.5,23.07,4.4
